,Adliswil,Horgen,Kilchberg,Langnau a.A.,Oberrieden,Richterswil,Rüschlikon,Thalwil,Wädenswil,average
2019,0.75,0.64,0.82,1.02,0.69,0.88,0.93,0.41,0.68,0.7577777777777778
2018,0.9,0.7,1.16,0.9,0.9,0.67,0.94,0.4,0.61,0.7977777777777778
2017,0.86,0.68,0.97,0.55,0.96,0.87,0.98,0.36,0.81,0.7822222222222224
2016,0.65,0.84,1.23,0.69,0.91,0.49,0.8,0.41,0.5,0.7244444444444444
2015,0.77,0.88,0.99,0.47,1.04,0.89,0.7,0.35,0.62,0.7455555555555555
2014,0.44,0.85,1.01,0.7,0.46,0.58,1.0,0.37,1.61,0.78
2013,0.89,1.33,0.72,0.65,0.0,0.73,0.46,0.35,0.66,0.6433333333333334
2012,0.99,1.15,0.22,0.62,0.04,0.63,0.42,0.2,0.81,0.5644444444444444
2011,1.25,0.87,0.35,0.62,0.33,0.3,0.2,0.17,0.39,0.4977777777777777
2010,0.71,0.31,1.39,0.48,0.25,0.29,0.41,0.33,0.63,0.5333333333333333
2009,1.03,0.32,0.71,0.45,0.04,0.33,0.24,0.22,0.49,0.4255555555555556
2008,0.98,0.16,1.01,0.3,0.08,0.2,0.04,0.15,0.67,0.3988888888888889
2007,1.31,0.2,1.3,0.79,0.17,0.9,0.17,0.22,0.62,0.6311111111111111
2006,1.17,0.13,1.13,0.66,0.17,0.66,0.46,0.21,0.72,0.59
2005,0.7,0.15,0.26,0.45,0.17,0.56,0.08,0.25,0.65,0.36333333333333334
2004,0.45,0.25,0.74,0.03,0.17,0.64,0.38,0.22,0.41,0.3655555555555556
2003,0.16,0.15,0.51,0.03,0.48,0.33,0.17,0.22,0.12,0.24111111111111116
2002,0.1,0.0,0.16,0.03,0.27,0.39,0.3,0.12,0.13,0.16666666666666666
2001,0.17,0.0,0.14,0.13,0.04,0.94,0.09,0.17,0.2,0.2088888888888889
2000,0.41,0.27,0.14,0.4,0.59,1.79,0.26,0.24,0.56,0.5177777777777778
1999,1.15,0.6,0.77,1.02,0.09,2.18,0.31,0.41,1.17,0.8555555555555556
1998,1.16,0.33,0.28,1.15,0.47,2.03,0.04,0.54,1.84,0.8711111111111111
1997,0.71,0.35,0.48,0.83,0.05,2.19,0.27,0.16,1.08,0.68
1996,1.0,0.57,0.4,0.35,0.14,1.28,0.5,0.16,0.99,0.5988888888888889
1995,1.23,0.3,0.2,0.14,0.05,0.74,0.78,0.0,0.33,0.4188888888888889
1994,0.36,0.48,0.37,0.69,0.05,0.24,0.83,0.12,0.89,0.4477777777777777
1993,0.91,0.7,0.31,0.15,0.05,0.41,1.25,0.35,0.73,0.5399999999999999
1992,0.49,0.17,0.14,0.11,0.05,0.1,1.16,0.16,0.37,0.3055555555555556
1991,0.03,0.01,0.23,0.18,0.05,0.17,0.99,0.05,0.44,0.23888888888888887
1990,0.0,0.03,0.09,0.11,0.0,0.0,0.05,0.03,0.34,0.07222222222222223
