,Erlenbach,Herrliberg,Hombrechtikon,Küsnacht,Männedorf,Meilen,Oetwil a.S.,Stäfa,Uetikon a.S.,Zollikon,Zumikon,average
2019,0.98,1.07,1.78,3.0,1.2,2.83,1.72,1.43,1.92,1.15,1.91,1.7263636363636363
2018,1.21,0.82,1.59,4.27,1.38,3.13,1.95,2.21,2.64,1.35,2.12,2.060909090909091
2017,1.55,1.37,1.31,3.99,1.46,2.53,1.71,2.42,0.98,1.8,1.92,1.9127272727272726
2016,1.51,1.37,1.38,2.84,1.94,3.44,1.9,1.23,1.61,1.26,1.15,1.7845454545454544
2015,2.18,1.79,0.69,2.17,1.72,2.03,1.24,1.25,1.74,1.37,1.36,1.5945454545454545
2014,2.9,0.9,0.88,0.94,1.21,2.15,1.58,1.17,0.78,0.96,1.32,1.3445454545454545
2013,1.48,1.02,0.69,1.76,0.34,2.17,0.39,1.31,1.03,0.84,1.46,1.1354545454545453
2012,1.04,0.89,0.94,1.55,0.26,1.67,1.47,1.13,1.33,0.93,0.9,1.1009090909090908
2011,2.62,0.61,6.44,2.68,0.71,0.68,0.96,1.72,1.37,0.3,1.08,1.742727272727273
2010,0.32,0.73,5.8,1.32,0.19,1.21,1.66,2.14,1.01,0.6,0.59,1.4154545454545453
2009,0.32,1.0,5.78,1.1,0.26,1.4,1.58,2.27,1.2,0.03,0.71,1.4227272727272726
2008,0.2,0.95,4.68,0.52,0.18,1.35,1.88,1.19,2.02,0.0,0.91,1.2618181818181817
2007,0.21,0.48,4.22,1.21,0.38,1.83,1.02,2.41,3.12,0.1,2.13,1.5554545454545454
2006,0.33,0.6,3.05,2.42,0.36,1.43,2.5,3.27,1.94,0.03,1.67,1.5999999999999999
2005,0.46,0.19,0.72,2.38,0.25,1.29,1.17,3.0,1.87,0.31,0.85,1.1354545454545453
2004,0.13,0.3,1.32,1.19,0.49,0.69,0.38,1.94,1.23,0.0,0.3,0.7245454545454545
2003,0.64,0.5,0.09,0.61,0.15,0.56,0.65,1.84,1.27,0.07,0.22,0.6000000000000001
2002,0.59,0.47,0.67,0.83,0.2,0.62,0.71,1.52,0.99,0.08,0.0,0.6072727272727273
2001,0.42,0.32,0.62,1.78,0.1,0.53,1.14,3.3,1.48,0.09,0.0,0.889090909090909
2000,0.0,0.77,0.45,1.77,0.34,1.08,2.99,2.27,2.8,0.11,0.0,1.1436363636363636
1999,0.0,0.46,1.97,1.71,1.57,2.36,3.32,2.32,3.06,0.42,0.0,1.5627272727272727
1998,0.0,0.66,0.85,2.25,0.39,3.7,4.6,3.45,2.55,0.41,0.0,1.7145454545454546
1997,0.0,0.32,0.85,3.35,0.59,1.72,3.44,3.21,2.51,0.18,0.0,1.4700000000000002
1996,0.15,0.19,0.61,1.96,1.16,1.57,2.17,2.34,1.62,0.31,0.0,1.0981818181818181
1995,0.6,0.48,1.34,1.53,1.01,1.2,1.08,1.93,2.11,0.27,0.0,1.0499999999999998
1994,0.91,0.39,0.97,1.02,0.46,1.13,1.69,0.84,2.94,0.15,0.2,0.9727272727272727
1993,0.77,1.22,0.34,1.33,0.09,0.85,0.36,0.72,0.0,0.13,0.0,0.5281818181818182
1992,0.31,2.36,0.38,1.1,0.13,0.02,0.0,0.46,0.0,0.02,0.0,0.43454545454545457
1991,0.0,2.13,0.04,0.82,0.09,0.56,0.15,0.27,0.2,0.13,0.0,0.39909090909090905
1990,0.0,0.1,0.0,0.68,0.09,0.0,0.0,0.45,0.33,0.02,0.0,0.15181818181818182
